"","x","y","Geothermal","Minerals","Chalcedony","Kaolinite","Gypsum","Temperature","Faults","Deformation"
"176",327518.6,4406425.5,1,0.00292396871373057,0,0,0,NA,0.437176525592804,-40.7622146606445
"177",327521.6,4406425.5,1,0.00292396871373057,0,0,0,NA,0.439563155174255,-40.4354133605957
"178",327524.6,4406425.5,1,0.00292396871373057,0,0,0,8,0.441804260015488,-40.5168037414551
"179",327527.6,4406425.5,1,0.00292396871373057,0,0,0,9,0.443930387496948,-40.5409393310547
"180",327530.6,4406425.5,1,0.00146198435686529,0,0,0,9,0.445945024490356,-40.7705574035645
"181",327533.6,4406425.5,1,0,0,0,0,10,0.447851270437241,-41.0211143493652
"182",327536.6,4406425.5,1,0,0,0,0,10,0.44965186715126,-41.4622077941895
"183",327539.6,4406425.5,1,0,0,0,0,11,0.451349228620529,-41.2289695739746
"184",327542.6,4406425.5,1,0,0,0,0,11,0.457497835159302,-41.2304992675781
"185",327545.6,4406425.5,1,0,0,0,0,11,0.469788700342178,-40.9362640380859
"186",327548.6,4406425.5,1,0,0,0,0,11,0.478646814823151,-39.7944221496582
"187",327551.6,4406425.5,1,0,0,0,0,11,0.486066371202469,-39.5393562316895
"188",327554.6,4406425.5,1,0,0,0,0,11,0.492585361003876,-39.5108795166016
"189",327557.6,4406425.5,1,0,0,0,0,12,0.498453050851822,-39.3455505371094
"190",327560.6,4406425.5,1,0,0,0,0,12,0.503810584545135,-39.1638488769531
"191",327563.6,4406425.5,1,0,0,0,0,12,0.508747637271881,-38.9917640686035
"192",327566.6,4406425.5,1,0,0,0,0,12,0.513325333595276,-37.4831352233887
"193",327569.6,4406425.5,1,0,0,0,0,12,0.517587721347809,-37.2124099731445
"194",327572.6,4406425.5,1,0,0,0,0,12,0.521567463874817,-37.0352249145508
"195",327575.6,4406425.5,1,0,0,0,0,12,0.524832367897034,-36.8054504394531
"196",327578.6,4406425.5,1,0,0,0,0,12,0.527797102928162,-36.1651039123535
"197",327581.6,4406425.5,1,0,0,0,0,12,0.53058272600174,-36.6007080078125
"198",327584.6,4406425.5,1,0,0,0,0,12,0.533209145069122,-36.4485511779785
"199",327587.6,4406425.5,1,0,0,0,0,12,0.535677850246429,-36.2845993041992
"200",327590.6,4406425.5,1,0,0,0,0,12,0.538792729377747,-36.4502029418945
"201",327593.6,4406425.5,1,0,0,0,0,12,0.541937172412872,-36.9532775878906
"202",327596.6,4406425.5,1,0,0,0,0,12,0.544920682907104,-36.0492248535156
"203",327599.6,4406425.5,1,0,0,0,0,12,0.54774534702301,-36.041748046875
"204",327602.6,4406425.5,1,0,0,0,0,12,0.550412595272064,-35.6080932617188
"205",327605.6,4406425.5,1,0,0,0,0,12,0.552922964096069,-35.639476776123
"206",327608.6,4406425.5,1,0,0,0,0,12,0.555275976657867,-35.7936363220215
"207",327611.6,4406425.5,1,0,0,0,0,12,0.557470381259918,-36.6021308898926
"208",327614.6,4406425.5,1,0,0,0,0,12,0.559503853321075,-36.8886528015137
"209",327617.6,4406425.5,1,0,0,0,0,12,0.561373114585876,-36.349422454834
"210",327620.6,4406425.5,1,0,0,0,0,12,0.56307327747345,-36.5231018066406
"211",327623.6,4406425.5,1,0,0,0,0,12,0.564597964286804,-36.4460678100586
"212",327626.6,4406425.5,1,0,0,0,0,12,0.565938770771027,-36.5194435119629
"213",327629.6,4406425.5,1,0,0,0,0,12,0.567084312438965,-37.9795799255371
"214",327632.6,4406425.5,1,0,0,0,0,12,0.56812310218811,-37.9004516601562
"215",327635.6,4406425.5,1,0,0,0,0,12,0.570001244544983,-37.6204681396484
"216",327638.6,4406425.5,1,0,0,0,0,12,0.57177996635437,-37.4254379272461
"217",327641.6,4406425.5,1,0,0,0,0,12,0.573460102081299,-37.1747627258301
"218",327644.6,4406425.5,1,0,0,0,0,12,0.575042366981506,-36.1400833129883
"219",327647.6,4406425.5,1,0,0,0,0,12,0.57652735710144,-35.2858734130859
"220",327650.6,4406425.5,1,0,0,0,0,12,0.57791543006897,-33.772891998291
"221",327653.6,4406425.5,1,0,0,0,0,12,0.579216659069061,-34.1248741149902
"222",327656.6,4406425.5,1,0,0,0,0,12,0.580538630485535,-34.968433380127
"223",327659.6,4406425.5,1,0,0,0,0,12,0.581758737564087,-34.5025672912598
"224",327662.6,4406425.5,1,0,0,0,0,12,0.582877397537231,-34.4410629272461
"225",327665.6,4406425.5,1,0,0,0,0,11,0.583894610404968,-33.0676765441895
"226",327668.6,4406425.5,1,0,0,0,0,11,0.584810495376587,-32.4834251403809
"227",327671.6,4406425.5,1,0,0,0,0,11,0.585624873638153,-31.9196910858154
"228",327674.6,4406425.5,1,0,0,0,0,10,0.586337625980377,-31.7028865814209
"229",327677.6,4406425.5,1,0,0,0,0,10,0.586948275566101,-31.365385055542
"230",327680.6,4406425.5,1,0,0,0,0,10,0.587456405162811,-30.8460083007812
"231",327683.6,4406425.5,1,0,0,0,0,10,0.588021218776703,-30.089786529541
"232",327686.6,4406425.5,1,0,0,0,0,10,0.588644921779633,-28.6162776947021
"233",327689.6,4406425.5,1,0,0,0,0,10,0.589156568050385,-26.0456829071045
"234",327692.6,4406425.5,1,0,0,0,0,10,0.589555025100708,-27.0211772918701
"235",327695.6,4406425.5,1,0,0,0,0,9,0.589839100837708,-27.6501083374023
"236",327698.6,4406425.5,1,0,0,0,0,9,0.590012431144714,-28.3525676727295
"237",327701.6,4406425.5,1,0,0,0,0,10,0.59008663892746,-28.1292495727539
"238",327704.6,4406425.5,1,0,0,0,0,10,0.590043306350708,-28.0261898040771
"239",327707.6,4406425.5,1,0,0,0,0,10,0.589880406856537,-27.9046249389648
"240",327710.6,4406425.5,1,0,0,0,0,10,0.58958888053894,-28.0324306488037
"241",327713.6,4406425.5,1,0,0,0,0,9,0.589158236980438,-27.8710136413574
"242",327716.6,4406425.5,1,0,0,0,0,9,0.589094281196594,-26.4615535736084
"243",327719.6,4406425.5,1,0,0,0,0,9,0.589164674282074,-26.341438293457
"244",327722.6,4406425.5,1,0,0,0,0,9,0.589089035987854,-26.300407409668
"245",327725.6,4406425.5,1,0,0,0,0,9,0.588863551616669,-26.1858406066895
"246",327728.6,4406425.5,1,0,0,0,0,9,0.58848363161087,-25.8569850921631
"247",327731.6,4406425.5,1,0,0,0,0,9,0.587944030761719,-26.0794544219971
"248",327734.6,4406425.5,1,0,0,0,0,9,0.587238788604736,-25.8446025848389
"249",327737.6,4406425.5,1,0,0,0,0,8,0.586361050605774,-25.873046875
"250",327740.6,4406425.5,1,0,0,0,0,8,0.585302710533142,-26.2078895568848
"251",327743.6,4406425.5,1,0,0,0,0,8,0.584054410457611,-24.888578414917
"252",327746.6,4406425.5,1,0,0,0,0,NA,0.582605063915253,-24.192361831665
"253",327749.6,4406425.5,1,0,0,0,0,NA,0.580941557884216,-23.9631500244141
"254",327752.6,4406425.5,1,0,0,0,0,NA,0.579048097133636,-23.5800952911377
"255",327755.6,4406425.5,1,0,0,0,0,NA,0.576905250549316,-23.0258903503418
"256",327758.6,4406425.5,1,0,0,0,0,NA,0.574488997459412,-22.9758071899414
"257",327761.6,4406425.5,1,0,0,0,0,NA,0.571768760681152,-22.8734683990479
"258",327764.6,4406425.5,1,0,0,0,0,NA,0.568704545497894,-23.0908660888672
"259",327767.6,4406425.5,1,0,0,0,0,NA,0.565242350101471,-23.0193843841553
"260",327770.6,4406425.5,1,0,0,0,0,NA,0.561305820941925,-23.0907783508301
"261",327773.6,4406425.5,1,0,0,0,0,NA,0.556779682636261,-22.9560356140137
"262",327776.6,4406425.5,1,0,0,0,0,NA,0.551474213600159,-22.6045036315918
"263",327779.6,4406425.5,1,0,0,0,0,NA,0.545026183128357,-21.8418979644775
"264",327782.6,4406425.5,1,0,0,0,0,NA,0.536509573459625,-20.9125328063965
"265",327785.6,4406425.5,1,0,0,0,0,NA,0.516220271587372,-20.4558391571045
"266",327788.6,4406425.5,1,0,0,0,0,NA,0.503940224647522,-20.3242855072021
"267",327791.6,4406425.5,1,0,0,0,0,NA,0.50489330291748,-21.0637664794922
"268",327794.6,4406425.5,1,0,0,0,0,NA,0.505070388317108,-21.302225112915
"269",327797.6,4406425.5,1,0,0,0,0,NA,0.504995048046112,-23.2012214660645
"270",327800.6,4406425.5,1,0,0,0,0,NA,0.504863500595093,-24.1567115783691
"271",327803.6,4406425.5,1,0,0,0,0,NA,0.504675447940826,-24.752857208252
"272",327806.6,4406425.5,1,0,0,0,0,NA,0.504430770874023,-26.0137996673584
"273",327809.6,4406425.5,1,0,0,0,0,NA,0.50412929058075,-25.6308326721191
"274",327812.6,4406425.5,1,0,0,0,0,NA,0.503770887851715,-25.9150905609131
"275",327815.6,4406425.5,1,0,0,0,0,NA,0.503355145454407,-25.6953945159912
"276",327818.6,4406425.5,1,0,0,0,0,NA,0.50288200378418,-25.0433921813965
"277",327821.6,4406425.5,1,0,0,0,0,NA,0.518815279006958,-24.7909507751465
"278",327824.6,4406425.5,1,0.00310964090749621,0,0,0,NA,0.532539188861847,-25.6797561645508
"279",327827.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.554848372936249,-25.7250576019287
"280",327830.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.57090175151825,-26.5558395385742
"281",327833.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.577856838703156,-27.1299095153809
"282",327836.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.583244323730469,-26.2118968963623
"283",327839.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.587672173976898,-25.915548324585
"284",327842.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.591418325901031,-25.2558784484863
"285",327845.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.594638824462891,-24.577787399292
"286",327848.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.597432136535645,-23.3684978485107
"287",327851.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.599865138530731,-22.5877571105957
"288",327854.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.601985573768616,-21.5450572967529
"289",327857.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.603829026222229,-21.3877220153809
"290",327860.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.605422735214233,-21.477424621582
"291",327863.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.606788098812103,-20.987060546875
"292",327866.6,4406425.5,1,0.00452833669260144,0,0,0,NA,0.608788728713989,-20.8251533508301
"293",327869.6,4406425.5,0,0.00452833669260144,0,0,0,NA,0.610804259777069,-20.6650829315186
"294",327872.6,4406425.5,0,0.00452833669260144,0,0,0,NA,0.612643778324127,-19.9513206481934
"295",327875.6,4406425.5,0,0.00452833669260144,0,0,0,NA,0.614316940307617,-19.7946510314941
"296",327878.6,4406425.5,0,0.00452833669260144,0,0,0,NA,0.615831971168518,-19.6417255401611
"297",327881.6,4406425.5,0,0.00452833669260144,0,0,0,NA,0.617195546627045,-19.499942779541
